-0.00335, -1e-05, -1e-05, -0.00335, 0.09926, 0.09889, 0.1023, 0.10268, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.09584, 0.09548, 0.09889, 0.09926, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.09241, 0.09207, 0.09548, 0.09584, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.08899, 0.08866, 0.09207, 0.09241, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.08557, 0.08525, 0.08866, 0.08899, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.08214, 0.08184, 0.08525, 0.08557, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.07872, 0.07843, 0.08184, 0.08214, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.0753, 0.07502, 0.07843, 0.07872, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.07188, 0.07161, 0.07502, 0.0753, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.06845, 0.0682, 0.07161, 0.07188, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.06503, 0.06479, 0.0682, 0.06845, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.06161, 0.06138, 0.06479, 0.06503, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.05819, 0.05797, 0.06138, 0.06161, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.05476, 0.05456, 0.05797, 0.05819, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.05134, 0.05115, 0.05456, 0.05476, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.04792, 0.04774, 0.05115, 0.05134, 1, 1, 0, 210000
-0.00335, -1e-05, -1e-05, -0.00335, 0.0445, 0.04433, 0.04774, 0.04792, 1, 1, 0, 210000
